"Date","Price","Open","High","Low","Change %"
"Nov 09, 2017","0.8514","0.8499","0.8519","0.8498","0.16%"
"Nov 08, 2017","0.8500","0.8509","0.8518","0.8497","-0.09%"
"Nov 07, 2017","0.8508","0.8503","0.8512","0.8487","0.06%"
"Nov 06, 2017","0.8503","0.8509","0.8515","0.8498","-0.07%"
"Nov 03, 2017","0.8509","0.8473","0.8509","0.8468","0.44%"
"Nov 02, 2017","0.8472","0.8466","0.8477","0.8441","0.08%"
"Nov 01, 2017","0.8465","0.8504","0.8510","0.8462","-0.47%"
"Oct 31, 2017","0.8505","0.8522","0.8522","0.8492","-0.20%"
"Oct 30, 2017","0.8522","0.8525","0.8529","0.8517","-0.02%"
"Oct 27, 2017","0.8524","0.8511","0.8538","0.8509","0.12%"
"Oct 26, 2017","0.8514","0.8507","0.8515","0.8498","0.07%"
"Oct 25, 2017","0.8508","0.8506","0.8520","0.8506","0.06%"
"Oct 24, 2017","0.8503","0.8512","0.8515","0.8492","-0.11%"
"Oct 23, 2017","0.8512","0.8485","0.8515","0.8485","0.32%"
"Oct 20, 2017","0.8485","0.8479","0.8495","0.8466","0.06%"
"Oct 19, 2017","0.8480","0.8488","0.8507","0.8478","-0.08%"
"Oct 18, 2017","0.8487","0.8484","0.8490","0.8463","0.05%"
"Oct 17, 2017","0.8483","0.8441","0.8485","0.8439","0.50%"
"Oct 16, 2017","0.8441","0.8428","0.8445","0.8419","0.17%"
"Oct 13, 2017","0.8427","0.8436","0.8439","0.8419","-0.13%"
"Oct 12, 2017","0.8438","0.8439","0.8456","0.8435","-0.04%"
"Oct 11, 2017","0.8441","0.8424","0.8456","0.8421","0.25%"
"Oct 10, 2017","0.8420","0.8486","0.8488","0.8419","-0.80%"
"Oct 09, 2017","0.8488","0.8526","0.8530","0.8484","-0.42%"
"Oct 06, 2017","0.8524","0.8519","0.8527","0.8519","0.06%"
"Oct 05, 2017","0.8519","0.8522","0.8524","0.8519","-0.04%"
"Oct 04, 2017","0.8522","0.8517","0.8524","0.8517","0.05%"
"Oct 03, 2017","0.8518","0.8516","0.8519","0.8516","0.01%"
"Oct 02, 2017","0.8517","0.8518","0.8521","0.8517","-0.01%"
"Sep 29, 2017","0.8518","0.8525","0.8555","0.8498","-0.14%"
"Sep 28, 2017","0.8530","0.8508","0.8552","0.8508","0.28%"
"Sep 27, 2017","0.8506","0.8499","0.8509","0.8492","0.07%"
"Sep 26, 2017","0.8500","0.8474","0.8503","0.8465","0.31%"
"Sep 25, 2017","0.8474","0.8441","0.8476","0.8441","0.40%"
"Sep 22, 2017","0.8440","0.8441","0.8452","0.8420","-0.05%"
"Sep 21, 2017","0.8444","0.8427","0.8462","0.8423","0.18%"
"Sep 20, 2017","0.8429","0.8437","0.8438","0.8414","-0.08%"
"Sep 19, 2017","0.8436","0.8413","0.8466","0.8413","0.31%"
"Sep 18, 2017","0.8410","0.8379","0.8414","0.8377","0.36%"
"Sep 15, 2017","0.8380","0.8389","0.8391","0.8367","-0.13%"
"Sep 14, 2017","0.8391","0.8376","0.8398","0.8376","0.19%"
"Sep 13, 2017","0.8375","0.8367","0.8376","0.8351","0.10%"
"Sep 12, 2017","0.8367","0.8357","0.8383","0.8354","0.08%"
"Sep 11, 2017","0.8360","0.8296","0.8360","0.8295","0.77%"
"Sep 08, 2017","0.8296","0.8304","0.8324","0.8250","-0.05%"
"Sep 07, 2017","0.8300","0.8339","0.8348","0.8299","-0.44%"
"Sep 06, 2017","0.8337","0.8353","0.8369","0.8331","-0.23%"
"Sep 05, 2017","0.8356","0.8346","0.8380","0.8331","0.11%"
"Sep 04, 2017","0.8347","0.8384","0.8385","0.8335","-0.44%"
"Sep 01, 2017","0.8384","0.8425","0.8427","0.8374","-0.43%"
"Aug 31, 2017","0.8420","0.8426","0.8438","0.8417","-0.08%"
"Aug 30, 2017","0.8427","0.8430","0.8434","0.8412","-0.05%"
"Aug 29, 2017","0.8431","0.8449","0.8468","0.8427","-0.20%"
"Aug 28, 2017","0.8448","0.8500","0.8500","0.8447","-0.67%"
"Aug 25, 2017","0.8505","0.8518","0.8526","0.8496","-0.14%"
"Aug 24, 2017","0.8517","0.8509","0.8518","0.8504","0.09%"
"Aug 23, 2017","0.8509","0.8512","0.8522","0.8508","-0.05%"
"Aug 22, 2017","0.8513","0.8519","0.8519","0.8504","-0.07%"
"Aug 21, 2017","0.8519","0.8529","0.8535","0.8518","-0.11%"
"Aug 18, 2017","0.8528","0.8530","0.8541","0.8522","-0.05%"
"Aug 17, 2017","0.8532","0.8557","0.8558","0.8521","-0.27%"
"Aug 16, 2017","0.8555","0.8546","0.8563","0.8541","0.11%"
"Aug 15, 2017","0.8546","0.8528","0.8547","0.8527","0.20%"
"Aug 14, 2017","0.8529","0.8519","0.8532","0.8512","0.07%"
"Aug 11, 2017","0.8523","0.8501","0.8545","0.8500","0.24%"
"Aug 10, 2017","0.8503","0.8537","0.8540","0.8500","-0.42%"
"Aug 09, 2017","0.8539","0.8570","0.8573","0.8532","-0.38%"
"Aug 08, 2017","0.8572","0.8594","0.8597","0.8557","-0.27%"
"Aug 07, 2017","0.8595","0.8604","0.8606","0.8586","-0.13%"
"Aug 04, 2017","0.8606","0.8589","0.8609","0.8587","0.16%"
"Aug 03, 2017","0.8592","0.8597","0.8613","0.8587","-0.08%"
"Aug 02, 2017","0.8599","0.8596","0.8612","0.8595","0.00%"
"Aug 01, 2017","0.8599","0.8609","0.8611","0.8594","-0.15%"
"Jul 31, 2017","0.8612","0.8625","0.8630","0.8606","-0.17%"
"Jul 28, 2017","0.8627","0.8632","0.8644","0.8622","-0.09%"
"Jul 27, 2017","0.8635","0.8647","0.8651","0.8610","-0.16%"
"Jul 26, 2017","0.8649","0.8643","0.8656","0.8641","0.03%"
"Jul 25, 2017","0.8646","0.8644","0.8655","0.8633","-0.02%"
"Jul 24, 2017","0.8648","0.8665","0.8670","0.8643","-0.20%"
"Jul 21, 2017","0.8665","0.8651","0.8671","0.8649","0.12%"
"Jul 20, 2017","0.8655","0.8646","0.8675","0.8644","0.09%"
"Jul 19, 2017","0.8647","0.8642","0.8658","0.8638","0.05%"
"Jul 18, 2017","0.8643","0.8672","0.8677","0.8636","-0.37%"
"Jul 17, 2017","0.8675","0.8677","0.8685","0.8666","-0.08%"
"Jul 14, 2017","0.8682","0.8686","0.8690","0.8668","-0.07%"
"Jul 13, 2017","0.8688","0.8688","0.8693","0.8675","-0.02%"
"Jul 12, 2017","0.8690","0.8705","0.8709","0.8686","-0.21%"
"Jul 11, 2017","0.8708","0.8707","0.8716","0.8701","-0.01%"
"Jul 10, 2017","0.8709","0.8710","0.8712","0.8703","-0.03%"
"Jul 07, 2017","0.8712","0.8704","0.8712","0.8698","0.05%"
"Jul 06, 2017","0.8708","0.8709","0.8720","0.8698","-0.03%"
"Jul 05, 2017","0.8711","0.8707","0.8716","0.8698","0.00%"
"Jul 04, 2017","0.8711","0.8703","0.8713","0.8699","0.05%"
"Jul 03, 2017","0.8707","0.8684","0.8710","0.8679","0.24%"
"Jun 30, 2017","0.8686","0.8691","0.8694","0.8659","-0.10%"
"Jun 29, 2017","0.8695","0.8711","0.8716","0.8678","-0.21%"
"Jun 28, 2017","0.8713","0.8730","0.8732","0.8706","-0.23%"
"Jun 27, 2017","0.8733","0.8768","0.8779","0.8724","-0.44%"
"Jun 26, 2017","0.8772","0.8762","0.8780","0.8758","0.08%"
"Jun 23, 2017","0.8765","0.8760","0.8778","0.8760","0.01%"
"Jun 22, 2017","0.8764","0.8751","0.8765","0.8749","0.11%"
"Jun 21, 2017","0.8754","0.8753","0.8763","0.8746","0.00%"
"Jun 20, 2017","0.8754","0.8741","0.8766","0.8740","0.13%"
"Jun 19, 2017","0.8743","0.8729","0.8745","0.8725","0.15%"
"Jun 16, 2017","0.8730","0.8724","0.8740","0.8720","0.03%"
"Jun 15, 2017","0.8727","0.8705","0.8727","0.8704","0.20%"
"Jun 14, 2017","0.8710","0.8718","0.8722","0.8700","-0.11%"
"Jun 13, 2017","0.8720","0.8715","0.8720","0.8712","0.03%"
"Jun 12, 2017","0.8717","0.8717","0.8721","0.8710","-0.02%"
"Jun 09, 2017","0.8719","0.8719","0.8729","0.8714","-0.02%"
"Jun 08, 2017","0.8721","0.8716","0.8723","0.8711","0.02%"
"Jun 07, 2017","0.8719","0.8718","0.8721","0.8708","0.00%"
"Jun 06, 2017","0.8719","0.8730","0.8732","0.8713","-0.14%"
"Jun 05, 2017","0.8731","0.8740","0.8742","0.8723","-0.17%"
"Jun 02, 2017","0.8746","0.8731","0.8758","0.8729","0.09%"
"Jun 01, 2017","0.8738","0.8739","0.8750","0.8707","-0.02%"
"May 31, 2017","0.8740","0.8793","0.8796","0.8737","-0.65%"
"May 30, 2017","0.8797","0.8792","0.8798","0.8791","0.01%"
"May 29, 2017","0.8796","0.8793","0.8798","0.8790","-0.01%"
"May 26, 2017","0.8797","0.8813","0.8819","0.8785","-0.22%"
"May 25, 2017","0.8816","0.8844","0.8848","0.8809","-0.34%"
"May 24, 2017","0.8846","0.8844","0.8855","0.8842","-0.01%"
"May 23, 2017","0.8847","0.8841","0.8854","0.8836","0.01%"
"May 22, 2017","0.8846","0.8843","0.8858","0.8837","0.00%"
"May 19, 2017","0.8846","0.8851","0.8863","0.8842","-0.08%"
"May 18, 2017","0.8853","0.8833","0.8859","0.8832","0.15%"
"May 17, 2017","0.8840","0.8839","0.8855","0.8830","-0.02%"
"May 16, 2017","0.8842","0.8848","0.8860","0.8834","-0.10%"
"May 15, 2017","0.8851","0.8850","0.8867","0.8845","-0.01%"
"May 12, 2017","0.8852","0.8861","0.8864","0.8849","-0.12%"
"May 11, 2017","0.8863","0.8862","0.8872","0.8857","-0.03%"
"May 10, 2017","0.8866","0.8872","0.8876","0.8860","-0.09%"
"May 09, 2017","0.8874","0.8868","0.8877","0.8868","0.05%"
"May 08, 2017","0.8870","0.8867","0.8873","0.8863","0.01%"
"May 05, 2017","0.8869","0.8861","0.8870","0.8856","0.09%"
"May 04, 2017","0.8861","0.8862","0.8865","0.8854","-0.05%"
"May 03, 2017","0.8865","0.8860","0.8867","0.8853","0.03%"
"May 02, 2017","0.8862","0.8858","0.8868","0.8856","0.00%"
"May 01, 2017","0.8862","0.8857","0.8863","0.8857","0.00%"
"Apr 28, 2017","0.8862","0.8862","0.8871","0.8851","-0.03%"
"Apr 27, 2017","0.8865","0.8858","0.8869","0.8854","0.07%"
"Apr 26, 2017","0.8859","0.8847","0.8860","0.8844","0.10%"
"Apr 25, 2017","0.8850","0.8848","0.8855","0.8838","0.00%"
"Apr 24, 2017","0.8850","0.8854","0.8859","0.8847","-0.08%"
"Apr 21, 2017","0.8857","0.8849","0.8858","0.8845","0.06%"
"Apr 20, 2017","0.8852","0.8857","0.8866","0.8848","-0.09%"
"Apr 19, 2017","0.8860","0.8847","0.8861","0.8842","0.08%"
"Apr 18, 2017","0.8853","0.8851","0.8871","0.8844","-0.02%"
"Apr 17, 2017","0.8855","0.8854","0.8866","0.8844","-0.03%"
"Apr 14, 2017","0.8858","0.8858","0.8863","0.8850","-0.05%"
"Apr 13, 2017","0.8862","0.8864","0.8870","0.8843","-0.07%"
"Apr 12, 2017","0.8868","0.8865","0.8881","0.8863","-0.01%"
"Apr 11, 2017","0.8869","0.8878","0.8888","0.8862","-0.16%"
"Apr 10, 2017","0.8883","0.8878","0.8900","0.8877","0.01%"
