Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,4.400000,4.430000,4.390000,4.430000,4.051512,104161632
2017-01-04,4.420000,4.440000,4.410000,4.430000,4.051512,118923425
2017-01-05,4.430000,4.450000,4.420000,4.440000,4.060658,87356137
2017-01-06,4.440000,4.450000,4.430000,4.440000,4.060658,87008191
2017-01-09,4.450000,4.480000,4.430000,4.460000,4.078949,117454094
2017-01-10,4.450000,4.470000,4.440000,4.460000,4.078949,63663257
2017-01-11,4.460000,4.480000,4.450000,4.470000,4.088094,52395427
2017-01-12,4.460000,4.470000,4.440000,4.470000,4.088094,62166279
2017-01-13,4.450000,4.490000,4.440000,4.490000,4.106386,93851289
2017-01-16,4.470000,4.580000,4.440000,4.550000,4.161260,302311399
2017-01-17,4.520000,4.540000,4.510000,4.530000,4.142969,90022291
2017-01-18,4.520000,4.540000,4.510000,4.530000,4.142969,68290432
2017-01-19,4.530000,4.560000,4.500000,4.530000,4.142969,110598840
2017-01-20,4.520000,4.530000,4.500000,4.520000,4.133823,67870182
2017-01-23,4.520000,4.530000,4.510000,4.530000,4.142969,77011069
2017-01-24,4.520000,4.570000,4.520000,4.550000,4.161260,117283449
2017-01-25,4.550000,4.570000,4.530000,4.560000,4.170405,68255713
2017-01-26,4.560000,4.600000,4.560000,4.600000,4.206988,84502233
2017-02-03,4.590000,4.600000,4.550000,4.560000,4.170405,53137727
2017-02-06,4.570000,4.570000,4.540000,4.560000,4.170405,55128293
2017-02-07,4.550000,4.560000,4.540000,4.550000,4.161260,68414436
2017-02-08,4.550000,4.560000,4.510000,4.560000,4.170405,55511309
2017-02-09,4.550000,4.570000,4.540000,4.570000,4.179551,65501269
2017-02-10,4.570000,4.590000,4.560000,4.590000,4.197842,59720167
2017-02-13,4.590000,4.630000,4.580000,4.620000,4.225279,93998902
2017-02-14,4.620000,4.640000,4.610000,4.620000,4.225279,80645823
2017-02-15,4.620000,4.690000,4.620000,4.680000,4.280153,156678868
2017-02-16,4.680000,4.720000,4.660000,4.680000,4.280153,103172534
2017-02-17,4.700000,4.700000,4.620000,4.640000,4.243570,95376937
2017-02-20,4.630000,4.710000,4.630000,4.670000,4.271007,155702505
2017-02-21,4.680000,4.710000,4.660000,4.680000,4.280153,90739831
2017-02-22,4.680000,4.700000,4.670000,4.700000,4.298444,60973525
2017-02-23,4.700000,4.720000,4.690000,4.710000,4.307590,61309086
2017-02-24,4.700000,4.700000,4.680000,4.700000,4.298444,54287246
2017-02-27,4.680000,4.700000,4.670000,4.690000,4.289299,58505320
2017-02-28,4.680000,4.700000,4.670000,4.690000,4.289299,49814935
2017-03-01,4.680000,4.710000,4.650000,4.680000,4.280153,93299143
2017-03-02,4.680000,4.690000,4.670000,4.670000,4.271007,50636315
2017-03-03,4.660000,4.680000,4.650000,4.650000,4.252716,42939726
