Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,11.553700,11.553700,11.355400,11.371900,10.870001,11891208
2017-01-04,11.388400,11.421500,11.289300,11.355400,10.854231,7675278
2017-01-05,11.421500,11.438000,11.371900,11.438000,10.933185,12000289
2017-01-06,11.388400,11.537200,11.388400,11.454500,10.948956,13556738
2017-01-09,11.487600,11.603300,11.471100,11.603300,11.091190,13636646
2017-01-10,11.652900,11.950400,11.636400,11.950400,11.422970,22050694
2017-01-11,11.933900,11.966900,11.785100,11.966900,11.438741,16762327
2017-01-12,11.983500,11.983500,11.834700,11.900800,11.375559,13369730
2017-01-13,11.933900,11.983500,11.900800,11.983500,11.454609,14409557
2017-01-16,11.983500,12.066100,11.884300,11.966900,11.438741,9350108
2017-01-17,11.983500,12.000000,11.884300,12.000000,11.470381,8829414
2017-01-18,12.033100,12.066100,11.933900,12.016500,11.486154,9194688
2017-01-19,11.983500,12.033100,11.917400,11.966900,11.438741,5953516
2017-01-20,11.851200,12.000000,11.818200,11.966900,11.438741,9848885
2017-01-23,12.016500,12.049600,11.884300,11.966900,11.438741,8376058
2017-01-24,12.033100,12.033100,11.933900,12.016500,11.486154,7229690
2017-01-25,12.033100,12.033100,11.933900,12.000000,11.470381,5499696
2017-01-26,12.033100,12.066100,12.016500,12.033100,11.502020,9925605
2017-01-27,12.016500,12.198300,11.983500,12.115700,11.580974,8111816
2017-02-01,11.933900,12.148800,11.933900,12.132200,11.596746,16152891
2017-02-02,12.148800,12.181800,11.966900,12.016500,11.486154,9709715
2017-02-03,12.148800,12.148800,12.033100,12.099200,11.565203,7800234
2017-02-06,12.132200,12.165300,12.082600,12.148800,11.612614,6059094
2017-02-07,12.165300,12.247900,12.148800,12.247900,11.707340,9808005
2017-02-08,12.198300,12.363600,12.181800,12.363600,11.817933,12375488
2017-02-09,12.413200,12.446300,12.231400,12.314000,11.770523,15048483
2017-02-10,12.380200,12.396700,12.264500,12.330600,11.786390,8500854
2017-02-13,12.396700,12.396700,12.181800,12.231400,11.691567,10537134
2017-02-14,12.297500,12.363600,12.214900,12.314000,11.770523,7733092
2017-02-15,12.314000,12.347100,12.281000,12.330600,11.786390,9290234
2017-02-16,12.380200,12.380200,12.231400,12.231400,11.691567,13319594
2017-02-17,12.231400,12.347100,12.165300,12.347100,11.802163,10478755
2017-02-20,12.396700,12.396700,12.314000,12.380200,11.833801,7039238
2017-02-21,12.380200,12.380200,12.330600,12.380200,11.833801,9408015
2017-02-22,12.396700,12.396700,12.363600,12.396700,11.849572,14574494
2017-02-23,12.396700,12.396700,12.247900,12.297500,11.754750,9438450
2017-02-24,12.281000,12.396700,12.264500,12.380200,11.833801,9797936
2017-02-27,12.396700,12.396700,12.330600,12.396700,11.849572,10498296
2017-02-28,12.396700,12.413200,12.347100,12.347100,11.802163,16018544
2017-03-01,12.363600,12.413200,12.363600,12.380200,11.833801,8463165
2017-03-02,12.380200,12.545500,12.347100,12.545500,11.991805,17865557
